MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,POWER GRID CORP. LTD.,       239.20,       227.25,       235.70,       226.05,       233.45,               5912696885.25,25522629,Y, ,241637,       267.00,       190.65
N,RELIANCE INDUSTRIES LTD,      2723.15,      2702.80,      2742.00,      2702.50,      2735.90,              14005371079.55,5139719,Y, ,253448,      2792.90,      2220.30
N,SBI LIFE INSURANCE CO LTD,      1421.15,      1416.90,      1438.00,      1384.20,      1404.90,               3247540302.90,2296538,Y, ,96149,      1495.35,      1054.00
N,STATE BANK OF INDIA,       626.00,       625.80,       633.45,       619.05,       628.30,               9220794332.40,14695436,Y, ,239183,       660.40,       499.35
N,SUN PHARMACEUTICAL IND L,      1299.00,      1298.95,      1343.40,      1290.00,      1335.75,               3762388482.50,2842572,Y, ,150768,      1343.40,       922.45
N,TATA CONSUMER PRODUCT LTD,      1138.60,      1134.95,      1150.00,      1122.50,      1146.80,               1387175842.90,1218211,Y, ,86852,      1190.95,       686.60
N,TATA MOTORS LIMITED,       805.55,       807.00,       822.95,       797.00,       819.05,               9346447986.25,11500495,Y, ,280473,       827.00,       400.10
N,TATA STEEL LIMITED,       131.65,       131.65,       132.25,       128.20,       131.00,               5906640975.60,45273496,Y, ,267573,       141.25,       101.55
N,TATA CONSULTANCY SERV LT,      3884.60,      3898.00,      3908.80,      3862.00,      3902.60,               8705605580.15,2239110,Y, ,200495,      3965.00,      3070.25
N,TECH MAHINDRA LIMITED,      1326.75,      1326.70,      1369.50,      1306.00,      1355.15,               6085807482.00,4533782,Y, ,167235,      1401.50,       981.05
N,TITAN COMPANY LIMITED,      3830.05,      3791.35,      3824.65,      3718.85,      3734.70,               4873965466.90,1293580,Y, ,158684,      3858.00,      2269.60
N,ULTRATECH CEMENT LIMITED,      9854.65,      9854.00,      9933.05,      9770.00,      9892.25,               2746255362.90,278338,Y, ,62607,     10526.00,      6604.10
N,UPL LIMITED,       551.00,       550.00,       552.00,       539.15,       544.20,               1913738868.95,3512857,Y, ,89267,       780.00,       528.15
N,WIPRO LTD,       482.40,       482.40,       489.00,       468.40,       482.65,               6255499769.45,13072462,Y, ,200207,       529.00,       352.00
 , , , , , , , , ,N, , , , , , 
 ,NIFTY Next 50 Sec, , , , , , , ,N, , , , 
N,ACC LIMITED,      2251.80,      2246.00,      2267.10,      2201.05,      2260.10,                511712615.05,228207,N, ,17486,      2418.00,      1592.35
N,ADANI GREEN ENERGY LTD,      1615.00,      1615.00,      1629.00,      1565.65,      1588.25,               1583941662.80,994211,N, ,56962,      2185.00,       439.10
N,AMBUJA CEMENTS LTD,       520.55,       522.65,       526.95,       509.00,       524.15,               1085827265.40,2084710,N, ,44360,       557.90,       315.30
N,ADANI TOTAL GAS LIMITED,      1004.10,      1006.90,      1014.70,       972.45,       983.10,               1827225233.40,1849733,N, ,67191,      4000.00,       522.00
N,BAJAJ HOLDINGS & INVS LTD,      8098.75,      8139.80,      8139.80,      7890.00,      7999.35,                270085842.00,33821,N, ,10885,      8373.85,      5560.15
N,BANDHAN BANK LIMITED,       228.30,       227.50,       230.85,       224.10,       227.60,               2085311672.80,9142872,N, ,66806,       272.00,       182.15
N,BANK OF BARODA,       225.50,       224.95,       230.20,       222.00,       227.70,               3680821242.25,16224153,N, ,110866,       240.10,       146.50
N,BHARAT ELECTRONICS LTD,       185.65,       185.65,       189.00,       180.00,       188.20,               4605571445.75,24831623,N, ,153298,       190.25,        87.00
N,BERGER PAINTS (I) LTD,       595.15,       592.80,       594.00,       567.00,       576.35,                824879160.65,1433666,N, ,39856,       759.00,       527.15
N,BIOCON LIMITED.,       279.70,       280.15,       287.25,       273.35,       280.30,               1496167211.00,5337699,N, ,42279,       294.50,       191.55
N,BOSCH LIMITED,     22919.50,     22711.00,     23033.25,     22555.00,     22813.90,                488588162.20,21477,N, ,8488,     23568.95,     16366.05
N,CHOLAMANDALAM IN & FIN CO,      1288.10,      1281.90,      1298.35,      1246.30,      1291.65,               2446675225.50,1912562,N, ,61476,      1310.00,       675.30
N,COLGATE PALMOLIVE LTD.,      2499.70,      2491.00,      2507.40,      2449.15,      2495.20,                867125051.60,348563,N, ,29620,      2544.00,      1434.60
N,DABUR INDIA LTD,       549.45,       546.20,       549.95,       535.35,       539.45,                822596577.10,1520695,N, ,36862,       597.10,       503.65
N,DLF LIMITED,       775.30,       776.00,       780.60,       762.75,       775.45,               6754536235.50,8727583,N, ,158145,       815.75,       336.50
N,AVENUE SUPERMARTS LIMITED,      3786.45,      3786.45,      3790.00,      3740.00,      3748.85,               1837689966.00,489754,N, ,52535,      4206.00,      3292.00
N,GAIL (INDIA) LTD,       164.10,       164.10,       165.15,       157.75,       163.55,               3295931379.15,20299367,N, ,74132,       169.35,        91.05
N,GLAND PHARMA LIMITED,      1953.90,      1935.00,      1954.85,      1845.80,      1950.25,                345010543.25,180402,N, ,19185,      2057.60,       861.00
N,GODREJ CONSUMER PRODUCTS,      1100.50,      1099.80,      1115.85,      1075.60,      1103.90,               2736767620.85,2486764,N, ,110110,      1230.00,       891.75
N,HINDUSTAN AERONAUTICS LTD,      2958.30,      2957.50,      2981.00,      2845.70,      2967.60,               6055916561.35,2066487,N, ,110640,      4170.00,      1767.80
N,HAVELLS INDIA LIMITED,      1431.35,      1424.55,      1433.95,      1394.00,      1400.30,                849604624.05,603033,N, ,29343,      1472.00,      1131.80
N,HDFC AMC LIMITED,      3334.40,      3311.00,      3416.60,      3256.00,      3402.55,               2180704711.50,650351,N, ,49783,      3560.00,      1589.50
N,ICICI LOMBARD GIC LIMITED,      1454.45,      1454.00,      1462.15,      1423.00,      1440.05,                726189022.35,503202,N, ,36322,      1492.00,      1049.05
