SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
U6,DHANILOANS,Dhani Loans & Serv Ltd,24/01/2024, , ,24/01/2024, , ,INTEREST PAYMENT         
U6,INCREDFIN,Sec Re NCD 9.65% Sr.III,18/01/2024, , ,18/01/2024, , ,INTEREST PAYMENT         
U7,INCREDFIN,Sec Re NCD 10% Sr.IV,18/01/2024, , ,18/01/2024, , ,INTEREST PAYMENT         
U7,CREDITACC,Sec Re NCD 9.10% Sr I,23/01/2024, , ,23/01/2024, , ,INTEREST PAYMENT         
U7,IIFL,IIFL Finance Limited,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
U9,CREDITACC,Sec Re NCD 9.25% Sr III,23/01/2024, , ,23/01/2024, , ,INTEREST PAYMENT         
UB,CREDITACC,Sec Re NCD 9.40% Sr V,23/01/2024, , ,23/01/2024, , ,INTEREST PAYMENT         
UD,CREDITACC,Sec Re NCD 9.70% Sr VII,23/01/2024, , ,23/01/2024, , ,INTEREST PAYMENT         
UE,IBUCCREDIT,Sec Re NCD 9.80% Sr.I,18/01/2024, , ,18/01/2024, , ,INTEREST PAYMENT         
UG,IBULHSG,Sec Re NCD 8.88% Sr II,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
UG,INDIGRID,India Grid Trust,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
UH,INDIGRID,India Grid Trust,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
UH,IBUCCREDIT,Sec Re NCD 9.40% Sr.III,18/01/2024, , ,18/01/2024, , ,INTEREST PAYMENT         
UH,IBULHSG,Sec Re NCD 9.25% Sr II,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
UI,IBUCCREDIT,Sec Re NCD 10.05% Sr.IV,18/01/2024, , ,18/01/2024, , ,INTPYMNT/PARTREDEMPTION  
UK,IBUCCREDIT,Sec Re NCD 9.61% Sr.VI,18/01/2024, , ,18/01/2024, , ,INTPYMNT/PARTREDEMPTION  
UK,INDIGRID,India Grid Trust,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
UL,INDIGRID,India Grid Trust,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
UL,IBUCCREDIT,Sec Re NCD 9.80% Sr.VII,18/01/2024, , ,18/01/2024, , ,INTPYMNT/PARTREDEMPTION  
UM,IBUCCREDIT,Sec Re NCD 10.30% Sr.VII,18/01/2024, , ,18/01/2024, , ,INTPYMNT/PARTREDEMPTION  
UM,IBULHSG,Sec Re NCD 9.02% Sr V,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
UN,IBULHSG,Sec Re NCD 9.48% Sr V,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
UN,IBUCCREDIT,Sec Re NCD 9.40% Sr.VIII,18/01/2024, , ,18/01/2024, , ,INTPYMNT/PARTREDEMPTION  
UO,DHANILOANS,Dhani Loans & Serv Ltd,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
UO,IBUCCREDIT,Sec Re NCD 9.85% Sr.VIII,18/01/2024, , ,18/01/2024, , ,INTPYMNT/PARTREDEMPTION  
US,IBULHSG,Sec Re NCD 9.25% Sr VIII,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
UT,IBULHSG,Sec Re NCD 9.71% Sr VIII,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
UV,IBULHSG,Sec Re NCD 10.03% Sr X,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
UY,IBULHSG,Sec Re NCD 9.8% Sr XII,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
UZ,IBULHSG,Sec Re NCD 10.25% Sr XII,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
Y7,IBULHSGFIN,Sec Re NCD 8.20% Sr.VI,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
Y8,IBULHSGFIN,Sec Re NCD 8.66% Sr.VI,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
YB,IBULHSGFIN,Sec Re NCD 8.43% Sr.VIII,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
YC,IBULHSGFIN,Sec Re NCD 8.89% Sr.VIII,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         

