EQ,MAZDOCK,Mazagon Dock Shipbuilders Limited,INE249Z01012,Ship Building & Allied Services,info industry NA ,2340
EQ,TORNTPOWER,Torrent Power Limited,INE813H01021,Integrated Power Utilities,POWER,998.2
EQ,UPL,UPL Limited,INE628A01036,Pesticides & Agrochemicals,PESTICIDES AND AGROCHEMICALS,537.6
EQ,JSWINFRA,JSW Infrastructure Limited,INE880J01026,Port & Port services,info industry NA ,206.4
EQ,CENTRALBK,Central Bank of India,INE483A01010,Public Sector Bank,BANKS,54.3
EQ,ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,Investment Company,info industry NA ,166.1
EQ,PAGEIND,Page Industries Limited,INE761H01022,Garments & Apparels,TEXTILE PRODUCTS,36700
EQ,DALBHARAT,Dalmia Bharat Limited,INE00R701025,Cement & Cement Products,info industry NA ,2202.45
EQ,APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,Iron & Steel Products,STEEL AND STEEL PRODUCTS,1490
EQ,3MINDIA,3M India Limited,INE470A01017,Diversified,TRADING,34000.1
EQ,ACC,ACC Limited,INE012A01025,Cement & Cement Products,CEMENT AND CEMENT PRODUCTS,2509
EQ,KPITTECH,KPIT Technologies Limited,INE04I401011,Computers - Software & Consulting,info industry NA ,1417.6
EQ,L&TFH,L&T Finance Holdings Limited,INE498L01015,Investment Company,FINANCE,166.8
EQ,FLUOROCHEM,Gujarat Fluorochemicals Limited,INE09N301011,Specialty Chemicals,info industry NA ,3590
EQ,OIL,Oil India Limited,INE274J01014,Oil Exploration & Production,OIL EXPLORATION/PRODUCTION,404.05
EQ,PAYTM,One 97 Communications Limited,INE982J01020,Financial Technology (Fintech),info industry NA ,763.95
EQ,PHOENIXLTD,The Phoenix Mills Limited,INE211B01039,Residential Commercial Projects,CONSTRUCTION,2300
EQ,UNOMINDA,UNO Minda Limited,INE405E01023,Auto Components & Equipments,info industry NA ,686.9
EQ,DIXON,Dixon Technologies (India) Limited,INE935N01020,Consumer Electronics,info industry NA ,5865
EQ,SUNDARMFIN,Sundaram Finance Limited,INE660A01013,Non Banking Financial Company (NBFC),FINANCE,3540
EQ,BANDHANBNK,Bandhan Bank Limited,INE545U01014,Private Sector Bank,info industry NA ,221.9
EQ,COFORGE,Coforge Limited,INE591G01017,Computers - Software & Consulting,info industry NA ,6198
EQ,FEDERALBNK,The Federal Bank  Limited,INE171A01029,Private Sector Bank,BANKS,142
EQ,RVNL,Rail Vikas Nigam Limited,INE415G01027,Civil Construction,info industry NA ,301.75
EQ,SONACOMS,Sona BLW Precision Forgings Limited,INE073K01018,Auto Components & Equipments,info industry NA ,583.8
EQ,JUBLFOOD,Jubilant Foodworks Limited,INE797F01020,Restaurants,FOOD AND FOOD PROCESSING,508.75
EQ,COROMANDEL,Coromandel International Limited,INE169A01031,Fertilizers,FERTILISERS,1126
EQ,THERMAX,Thermax Limited,INE152A01029,Heavy Electrical Equipment,ELECTRICAL EQUIPMENT,3109.45
EQ,OFSS,Oracle Financial Services Software Limited,INE881D01027,Software Products,COMPUTERS - SOFTWARE,6695
EQ,KALYANKJIL,Kalyan Jewellers India Limited,INE303R01014,Gems Jewellery And Watches,info industry NA ,354.8
EQ,POLICYBZR,PB Fintech Limited,INE417T01026,Financial Technology (Fintech),info industry NA ,887
EQ,SJVN,SJVN Limited,INE002L01015,Power Generation,POWER,116
EQ,NLCINDIA,NLC India Limited,INE589A01014,Power Generation,info industry NA ,241.4
EQ,AIAENG,AIA Engineering Limited,INE212H01026,Castings & Forgings,ELECTRICAL EQUIPMENT,3896.75
EQ,NIACL,The New India Assurance Company Limited,INE470Y01017,General Insurance,info industry NA ,231.05
EQ,METROBRAND,Metro Brands Limited,INE317I01021,Footwear,info industry NA ,1175.1
EQ,M&MFIN,Mahindra & Mahindra Financial Services Limited,INE774D01024,Non Banking Financial Company (NBFC),FINANCE,270.8
EQ,DEEPAKNTR,Deepak Nitrite Limited,INE288B01029,Specialty Chemicals,CHEMICALS - SPECIALITY,2238
EQ,POONAWALLA,Poonawalla Fincorp Limited,INE511C01022,Non Banking Financial Company (NBFC),info industry NA ,477
EQ,PETRONET,Petronet LNG Limited,INE347G01014,LPG/CNG/PNG/LNG Supplier,GAS,256.4
EQ,ESCORTS,Escorts Kubota Limited,INE042A01014,Tractors,AUTOMOBILES - 4 WHEELERS,2952
EQ,MFSL,Max Financial Services Limited,INE180A01020,Life Insurance,info industry NA ,879
EQ,HONAUT,Honeywell Automation India Limited,INE671A01010,Industrial Products,ELECTRONICS - INDUSTRIAL,38699.5
EQ,VOLTAS,Voltas Limited,INE226A01021,Household Appliances,ENGINEERING,1005
