9.01% TAX FREETRII SR3B       ,HUDCO     ,NE,N,0001281.61,0001281.60,0001283.99,0001281.60,0001283.99,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
9.40 % SRNCD TR II SR III     ,IFCI      ,NL,N,0001083.00,0001083.00,0001087.00,0001083.00,0001087.00,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
9.90 % SRNCD SR VI            ,IFCI      ,NH,N,0001013.95,0001012.00,0001014.50,0001012.00,0001013.93,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
A B COTSPIN INDIA LIMITED     ,ABCOTS    ,SM,N,0000123.35,0000125.45,0000125.45,0000124.95,0000125.00,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
A B INFRABUILD LIMITED        ,ABINFRA   ,SM,N,0000048.55,0000050.90,0000050.90,0000050.90,0000050.90,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
A G UNIVERSAL LIMITED         ,AGUL      ,ST,N,0000069.55,0000070.50,0000070.50,0000070.50,0000070.50,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
A2Z INFRA ENGINEERING LTD     ,A2ZINFRA  ,BE,G,0000013.70,0000013.45,0000013.45,0000013.45,0000013.45,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AAA TECHNOLOGIES LIMITED      ,AAATECH   ,BE,N,0000097.60,0000096.60,0000100.00,0000093.30,0000096.95,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AAKASH EXPLORATION SER L      ,AAKASH    ,BE,G,0000009.95,0000009.95,0000009.95,0000009.90,0000009.90,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AAREY DRUGS & PHARM LTD       ,AAREYDRUGS,BE,N,0000056.15,0000056.00,0000056.95,0000054.00,0000054.70,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AARON INDUSTRIES LIMITED      ,AARON     ,EQ,N,0000276.75,0000275.55,0000279.40,0000273.05,0000276.75,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AARTECH SOLONICS LIMITED      ,AARTECH   ,EQ,N,0000140.45,0000138.15,0000143.70,0000137.20,0000138.65,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AARTI DRUGS LTD.              ,AARTIDRUGS,EQ,N,0000527.90,0000527.90,0000534.25,0000517.00,0000530.45,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AARTI INDUSTRIES LTD          ,AARTIIND  ,EQ,N,0000583.05,0000601.05,0000633.50,0000601.05,0000611.60,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AARTI PHARMALABS LIMITED      ,AARTIPHARM,EQ,N,0000513.15,0000512.95,0000519.60,0000493.30,0000511.95,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AARTI SURFACTANTS LIMITED     ,AARTISURF ,EQ,N,0000701.70,0000708.25,0000737.70,0000691.60,0000712.45,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AARVEE DEN. & EXP. LTD        ,AARVEEDEN ,EQ,N,0000029.10,0000029.40,0000030.25,0000028.75,0000028.90,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AARVI ENCON LIMITED           ,AARVI     ,EQ,N,0000152.90,0000154.85,0000155.90,0000151.10,0000154.70,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AATMAJ HEALTHCARE LIMITED     ,AATMAJ    ,SM,N,0000041.60,0000041.85,0000042.50,0000039.95,0000040.40,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AAVAS FINANCIERS LIMITED      ,AAVAS     ,EQ,N,0001529.65,0001534.00,0001534.00,0001485.00,0001501.15,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ABAN OFFSHORE LTD.            ,ABAN      ,BE,N,0000057.45,0000057.45,0000060.30,0000056.00,0000057.70,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ABANS HOLDINGS LIMITED        ,AHL       ,EQ,N,0000331.90,0000331.80,0000335.15,0000321.00,0000328.70,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ABB INDIA LIMITED             ,ABB       ,EQ,N,0004773.05,0004765.00,0004797.40,0004665.00,0004710.35,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ABBOTT INDIA LIMITED          ,ABBOTINDIA,EQ,N,0025730.70,0025749.95,0025875.00,0025301.00,0025737.50,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ABM INTERNATIONAL LTD         ,ABMINTLLTD,BE,N,0000055.00,0000053.10,0000053.65,0000053.00,0000053.65,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ACC LIMITED                   ,ACC       ,EQ,N,0002251.80,0002246.00,0002267.10,0002201.05,0002260.10,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ACCELYA SOLN INDIA LTD        ,ACCELYA   ,EQ,N,0001837.35,0001837.00,0001919.00,0001751.00,0001895.45,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ACCENT MICROCELL LIMITED      ,ACCENTMIC ,SM,N,0000304.70,0000309.35,0000328.95,0000302.00,0000318.25,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ACCURACY SHIPPING LIMITED     ,ACCURACY  ,BE,N,0000012.90,0000013.15,0000013.50,0000013.00,0000013.50,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ACE INTEGRATED SOLU. LTD.     ,ACEINTEG  ,EQ,N,0000041.15,0000041.10,0000041.90,0000039.60,0000040.05,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ACTION CONST EQUIP LTD        ,ACE       ,EQ,N,0000901.60,0000899.75,0000919.00,0000876.00,0000904.30,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADANI ENERGY SOLUTION LTD     ,ADANIENSOL,EQ,N,0001087.15,0001087.00,0001097.90,0001040.60,0001065.50,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADANI ENTERPRISES LIMITED     ,ADANIENT  ,EQ,N,0002971.05,0002975.55,0002985.00,0002885.10,0002918.90,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADANI GREEN ENERGY LTD        ,ADANIGREEN,EQ,N,0001615.00,0001615.00,0001629.00,0001565.65,0001588.25,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADANI PORT & SEZ LTD          ,ADANIPORTS,EQ,N,0001166.85,0001171.05,0001184.30,0001143.45,0001154.05,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
